,id,text,labels,predictions,p_neg,p_pos
0,15923,"#WhoIsQ #WheresTheServer #DumpNike #DECLASFISA Democrats Support Antifa, Muslim Brotherhood, MS13, ISIS, Pedophilia, Child Trafficking, Taxpayer Funded Abortion’s, Election Fraud, Sedition And Treason!!! #LockThemAllUp #WWG1WGA #QAnon ⁦@USER URL",1,0,0.49533184380331063,-0.5482144758607956
1,27014,"#ConstitutionDay is revered by Conservatives, hated by Progressives/Socialist/Democrats that want to change it.",0,0,0.08233666109329457,-0.22185871285018224
2,30530,"#FOXNews #NRA #MAGA #POTUS #TRUMP #2ndAmendment #RNC #USMC #veterans @USER    @USER @USER @USER @USER   #fakereporting #THESWAMP #dnc #liberals @USER @USER #fakeoutrage @USER  First, it reduces the ca URL",0,0,-0.27175148061127874,-0.4449244276228326
3,13876,#Watching #Boomer getting the news that she is still up for parole always makes me smile. #Wentworth Finale...@USER is such a treasure. URL,0,1,0.4206005329241278,0.4930943218273825
4,60133,#NoPasaran: Unity demo to oppose the far-right in #London – #antifa #Oct13 — Enough is Enough! URL,1,0,0.33776115151914826,-0.4104499385993949
5,83681,. . . What the fuck did he do this time?,1,1,-0.5305254463486747,0.6946829585592
6,96874,#RAP is a form of ART! Used to express yourself freely. It does not gv the green light or excuse the behavior of acting like an animal! She is not in the streets of the BX where violence is a way of living. Elevate yourself boo and get on @USER level for longevity! #QUEEN👑,0,1,-0.2952245706982939,0.3436791877861878
7,65507,@USER Do you get the feeling he is kissing @USER behind so he can humiliate him later?,1,1,-0.08351491342634673,0.11477957606179146
8,78910,5 Tips to Enhance Audience Connection on Facebook URL @USER #socialmedia #smm URL,0,0,0.398272650736492,-0.2639066697613822
9,46363,#BiggBossTamil janani won the task. She is going to first final list👏👏👏👏,0,0,0.06334870932285379,-0.22166394050006805
10,68123,#Conservatives - the party of low taxation 😂 #Tories #Tory URL,0,0,0.10598697167049248,0.03965096220082487
11,22452,"𝓒-𝓒𝓮𝓭𝓻𝓪𝓷..  The Nord cannot make a single move, but he is fully aware of what is happening. A chill comes down his spine as a ghostly, rather. . . calm female voice called for him from a corner of the room.  Before he even has time to /attempt/ a response, +",0,0,0.44025244174770095,-0.3472437351377521
12,15565,#ConsTOO THE PLACE FOR FED UP CONSERVATIVES !!!,0,0,0.3664505090694874,0.12164960262667382
13,64376,#GreatAwakening #QAnon #PatriotsUnited #WWG1WGA #AreYouAwake  WHEN YOU ARE AWAKE YOU SEE CLEARLY ❤️🧡💛💚  Check out this video URL URL,0,0,-0.03409449634291966,-0.5658454048072129
14,12588,@USER Nigga ware da hits at,1,0,0.06610856398030866,-0.2277470426308891
15,34263,#StopKavanaugh he is liar like the rest of the #GOP URL,1,1,0.36981927294137223,0.5349090740827592
16,65773,#Dayspromo week of September 17th #days #dool  A coma does things to a gal . Sami: You are going to be ok. Hattie: No thanks to you.  Get her out of here. Before she finishes me off.  Hattie pretends to be Marlena.  The look on Kayla face is priceless. URL,0,1,0.30077408844655334,0.6393700946850805
17,95457,#BiggBossTelugu2 Let’s all include @USER in all our tweets...he is the business head of Star Maa network..don’t know if he knows about biggboss team and host hurting audience emotions  #BiggBossTelugu2,0,0,0.41026195050276276,-0.4113864637965233
18,24930,"#Dallas#Policewoman kills neighbor in HIS own apartment? WHAT went wrong?? See:Officer who shot man in his own apartment was involved in 2017 shooting of a suspect. “She is devastated,said a Dallas police officer, adds she is ""so so sorry for his family?"" URL",0,0,0.6246383969755447,-0.49425205689043383
